,,,,,,,,,,Month Year,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Total,Total,Total,Total,Total,Total,Total,Total
Employee No,Profit Center,Employee Name,Employee Position,Employee Location,People Group,Employee Category,Supervisor name,Join Date,Current Status,Termination Date,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%
1,PC - 1,Rochette Jilleen,Level 1,Location 3,Client Service Staff,SVP/VP,Idalina Lauraine,30-09-2000,Active,,160,144,52.00,16.00,0.00,95.00,0.00,36.11%,184,176,46.00,8.00,0.00,130.00,0.00,26.14%,176,156,27.00,20.00,0.00,127.00,0.00,17.31%,168,168,29.00,0.00,0.00,115.00,16.00,17.26%,184,165,27.00,16.00,3.00,77.00,0.00,16.36%,168,152,71.00,16.00,0.00,172.00,0.00,46.71%,176,136,30.00,40.00,0.00,106.00,0.00,22.06%,176,168,39.00,0.00,8.00,131.00,0.00,23.21%,168,111.5,24.00,40.00,16.50,95.50,0.00,21.52%,184,176,12.00,8.00,0.00,60.00,0.00,6.82%,160,152,62.00,8.00,0.00,192.00,2.00,40.79%,176,160,29.00,16.00,0.00,131.00,0.00,18.13%,"2,080",1864.5,448.00,188.00,27.50,"1,431.50",18.00,24.03%
2,PC - 2,Daryl Natalina,Level 2,Location 7,Client Service Staff,SVP/VP,Idalina Lauraine,31-05-1999,Active,,160,152,31.00,8.00,0.00,64.00,61.00,20.39%,184,120,31.00,64.00,0.00,45.00,44.00,25.83%,176,168,49.00,8.00,0.00,62.00,60.00,29.17%,168,164,31.00,0.00,4.00,67.00,68.00,18.90%,184,160,19.00,24.00,0.00,71.00,71.00,11.88%,168,160,91.50,8.00,0.00,36.00,35.50,57.19%,176,152,59.00,24.00,0.00,43.50,50.50,38.82%,176,176,167.00,0.00,0.00,12.00,11.00,94.89%,168,128,149.00,40.00,0.00,-1.00,-5.00,116.41%,184,176,15.00,8.00,0.00,82.00,79.00,8.52%,160,152,38.00,8.00,0.00,57.00,65.00,25.00%,176,160,41.50,16.00,0.00,62.00,56.50,25.94%,"2,080",1868,722.00,208.00,4.00,600.50,596.50,38.65%
3,PC - 2,Annnora Gabrielle,Level 2,Location 7,Client Service Staff,SVP/VP,Idalina Lauraine,31-01-2001,Active,,160,152,47.00,8.00,0.00,65.00,60.00,30.92%,184,176,33.00,8.00,0.00,60.00,84.00,18.75%,176,168,83.00,8.00,0.00,35.00,52.00,49.40%,168,156,201.00,8.00,4.00,22.00,18.00,128.85%,184,176,21.00,8.00,0.00,85.00,74.00,11.93%,168,144,113.00,8.00,16.00,32.00,18.00,78.47%,176,78,96.00,98.00,0.00,4.00,-10.00,123.08%,176,138,139.00,36.00,2.00,19.00,19.00,100.72%,168,120,124.50,48.00,0.00,29.00,2.00,103.75%,184,152,86.50,32.00,0.00,47.50,27.50,56.91%,160,148,87.00,12.00,0.00,45.00,25.00,58.78%,176,112,142.00,64.00,0.00,20.00,-12.00,126.79%,"2,080",1720,"1,173.00",338.00,22.00,463.50,357.50,68.20%
4,PC - 3,Barbee Joey,Level 2,Location 1,Client Service Staff,Resigned,Idalina Lauraine,30-09-2000,Resigned,28-02-2018,160,152,95.00,8.00,0.00,57.00,0.00,62.50%,184,176,74.50,8.00,0.00,85.50,24.00,42.33%,176,160,2.00,16.00,0.00,158.00,0.00,1.25%,168,165,20.00,0.00,3.00,140.00,0.00,12.12%,184,168,6.00,16.00,0.00,170.00,0.00,3.57%,168,160,59.50,8.00,0.00,106.00,0.00,37.19%,176,144,8.00,32.00,0.00,136.00,0.00,5.56%,176,151.5,0.00,24.00,0.50,151.50,0.00,0.00%,168,124,0.00,44.00,0.00,124.00,0.00,0.00%,184,148,4.00,36.00,0.00,145.00,0.00,2.70%,96,92,4.00,4.00,0.00,88.00,0.00,4.35%,-,-,-,-,-,-,-,-,"1,840",1640.5,273.00,196.00,3.50,"1,361.00",24.00,16.64%
6,PC - 1,Jordanna Danya,Level 2,Location 3,Client Service Staff,SVP/VP,Idalina Lauraine,30-06-2002,Active,,160,152,46.00,8.00,0.00,120.00,16.00,30.26%,184,184,13.00,0.00,0.00,164.00,32.00,7.07%,176,160,28.00,16.00,0.00,115.00,22.00,17.50%,168,160,52.00,8.00,0.00,82.00,50.00,32.50%,184,168,84.00,16.00,0.00,134.00,8.00,50.00%,168,152,69.00,8.00,8.00,122.00,0.00,45.39%,176,132,19.00,44.00,0.00,81.00,56.00,14.39%,176,168,48.00,8.00,0.00,92.00,61.00,28.57%,168,128,5.00,40.00,0.00,68.00,60.00,3.91%,184,128,32.00,56.00,0.00,86.00,34.00,25.00%,160,160,4.00,0.00,0.00,98.00,99.00,2.50%,176,120,28.00,56.00,0.00,75.00,32.00,23.33%,"2,080",1812,428.00,260.00,8.00,"1,237.00",470.00,23.62%
7,PC - 1,Irene Candis,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,31-07-2004,Active,,160,148,44.00,12.00,0.00,96.00,8.00,29.73%,184,184,26.00,0.00,0.00,134.00,0.00,14.13%,176,160,16.00,16.00,0.00,128.00,0.00,10.00%,168,156,34.00,12.00,0.00,162.00,0.00,21.79%,184,104,8.00,80.00,0.00,64.00,0.00,7.69%,168,152,92.00,16.00,0.00,92.00,0.00,60.53%,176,136,8.00,32.00,8.00,112.00,0.00,5.88%,176,176,22.00,0.00,0.00,186.00,0.00,12.50%,168,93,4.00,60.00,15.00,97.00,0.00,4.30%,184,152,34.00,32.00,0.00,94.00,0.00,22.37%,160,140,0.00,20.00,0.00,148.00,16.00,0.00%,176,144,2.00,32.00,0.00,142.00,0.00,1.39%,"2,080",1745,290.00,312.00,23.00,"1,455.00",24.00,16.62%
9,PC - 2,Marleah Bernadina,Level 3,Location 9,Client Service Staff,Confirmed Staff,Annnora Gabrielle,30-09-2004,Active,,160,148,30.18,8.00,4.00,118.00,0.00,20.39%,184,96,39.00,88.00,0.00,57.00,0.00,40.63%,176,176,16.00,0.00,0.00,160.00,0.00,9.09%,168,168,9.00,0.00,0.00,151.00,0.00,5.36%,184,136,10.00,48.00,0.00,74.00,60.00,7.35%,168,160,97.00,8.00,0.00,79.00,-16.00,60.63%,176,152,45.00,24.00,0.00,107.00,0.00,29.61%,176,176,18.00,0.00,0.00,158.00,0.00,10.23%,168,138,0.00,30.00,0.00,106.00,32.00,0.00%,184,168,17.00,16.00,0.00,151.00,0.00,10.12%,160,160,7.00,0.00,0.00,153.00,0.00,4.38%,176,136,20.50,40.00,0.00,115.50,0.00,15.07%,"2,080",1814,308.68,262.00,4.00,"1,429.50",76.00,17.02%
10,PC - 3,Guenevere Florida,Level 2,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,31-10-2004,Active,,160,152,20.00,8.00,0.00,114.00,18.00,13.16%,184,176,18.00,8.00,0.00,119.00,15.00,10.23%,176,176,15.00,0.00,0.00,150.00,35.00,8.52%,168,168,27.00,0.00,0.00,105.00,28.00,16.07%,184,136,15.00,48.00,0.00,68.00,29.00,11.03%,168,160,15.00,8.00,0.00,124.00,53.00,9.38%,176,168,24.00,8.00,0.00,104.00,40.00,14.29%,176,168,41.00,8.00,0.00,92.00,35.00,24.40%,168,128,15.00,40.00,0.00,84.00,29.00,11.72%,184,168,24.00,16.00,0.00,92.00,28.00,14.29%,160,144,30.00,16.00,0.00,106.00,34.00,20.83%,176,168,21.00,8.00,0.00,113.00,34.00,12.50%,"2,080",1912,265.00,168.00,0.00,"1,271.00",378.00,13.86%
12,PC - 3,Revkah Stephie,Level 2,Location 1,Client Service Staff,SVP/VP,Rochette Jilleen,30-11-2004,Active,,160,152,201.00,8.00,0.00,18.00,16.00,132.24%,184,176,29.00,8.00,0.00,111.00,24.00,16.48%,176,152,212.00,24.00,0.00,-14.00,32.00,139.47%,168,168,85.00,0.00,0.00,44.00,49.00,50.60%,184,156,86.00,28.00,0.00,22.00,56.00,55.13%,168,152,118.00,16.00,0.00,-8.00,54.00,77.63%,176,92,13.00,44.00,40.00,3.00,76.00,14.13%,176,168,114.00,8.00,0.00,45.00,9.00,67.86%,168,160,66.00,8.00,0.00,44.00,54.00,41.25%,184,128,103.00,56.00,0.00,44.00,-29.00,80.47%,160,160,101.00,0.00,0.00,110.00,0.00,63.13%,176,168,161.00,8.00,0.00,54.00,0.00,95.83%,"2,080",1832,"1,289.00",208.00,40.00,473.00,341.00,70.36%
